Name,Age,Batting Style,Bowling Style,Playing Role
Karumanaseri Narayanaiyer Ananthapadmanabhan,54y 108d,Right hand Bat,Legbreak Googly,Umpire
Reece James William Topley,29y 307d,Right hand Bat,Left arm Fast medium,Bowler
Jayaraman Madanagopal,49y 48d,Right hand Bat,Right arm Offbreak, (brother)
Hardik Himanshu Pandya,30y 75d,Right hand Bat,Right arm Medium fast,Allrounder
Shardul Narendra Thakur,32y 70d,Right hand Bat,Right arm Medium,Bowler
Dunith Nethmika Wellalage,20y 350d,Left hand Bat,Slow Left arm Orthodox,Bowler
Samuel Matthew Curran,25y 205d,Left hand Bat,Left arm Medium fast,Allrounder
Najibullah Zadran,30y 300d,Left hand Bat,Right arm Offbreak,Middle order Batter
Ishan Pranav Kumar Pandey Kishan,25y 160d,Left hand Bat,Wicketkeeper,Wicketkeeper Batter
Madagamagamage Dasun Shanaka,32y 107d,Right hand Bat,Right arm Medium,Allrounder
Matheesha Pathirana,21y 7d,Right hand Bat,Right arm Fast,Bowler
Ryan Klein,26y 193d,Right hand Bat,Right arm Medium fast,Bowler
Alex Tyson Carey,32y 120d,Left hand Bat,Wicketkeeper,Wicketkeeper Batter
Ravichandran Ashwin,37y 99d,Right hand Bat,Right arm Offbreak,Bowling Allrounder
